mysql: [Warning] Using a password on the command line interface can be insecure.
+--------------------------+---------------------------+-----------+-------------+----------------------+
| TABLE_NAME               | COLUMN_NAME               | DATA_TYPE | IS_NULLABLE | COLUMN_DEFAULT       |
| supply_record_items      | unitPrice                 | decimal   | NO          | NULL                 |
| supply_record_items      | totalPrice                | decimal   | NO          | NULL                 |
| supply_record_items      | remark                    | varchar   | YES         | NULL                 |
| supply_record_items      | createdAt                 | datetime  | NO          | CURRENT_TIMESTAMP(3) |
| supply_record_items      | updatedAt                 | datetime  | NO          | NULL                 |
| supply_records           | id                        | varchar   | NO          | NULL                 |
| supply_records           | purchaseOrderId           | varchar   | NO          | NULL                 |
| supply_records           | shareCode                 | varchar   | NO          | NULL                 |
| supply_records           | supplierInfo              | json      | NO          | NULL                 |
| supply_records           | status                    | varchar   | NO          | active               |
| supply_records           | totalAmount               | decimal   | NO          | 0.00                 |
| supply_records           | remark                    | text      | YES         | NULL                 |
| supply_records           | createdAt                 | datetime  | NO          | CURRENT_TIMESTAMP(3) |
| supply_records           | updatedAt                 | datetime  | NO          | NULL                 |
| supply_share_access      | id                        | varchar   | NO          | NULL                 |
| supply_share_access      | shareCode                 | varchar   | NO          | NULL                 |
| supply_share_access      | userToken                 | varchar   | NO          | NULL                 |
| supply_share_access      | userFingerprint           | varchar   | NO          | NULL                 |
| supply_share_access      | ipAddress                 | varchar   | NO          | NULL                 |
| supply_share_access      | userAgent                 | text      | NO          | NULL                 |
| supply_share_access      | firstAccessAt             | datetime  | NO          | NULL                 |
| supply_share_access      | lastAccessAt              | datetime  | NO          | NULL                 |
| supply_share_access      | accessCount               | int       | NO          | 1                    |
| supply_share_access      | createdAt                 | datetime  | NO          | CURRENT_TIMESTAMP(3) |
| supply_share_access      | updatedAt                 | datetime  | NO          | NULL                 |
| supply_share_links       | id                        | varchar   | NO          | NULL                 |
| supply_share_links       | purchaseOrderId           | varchar   | NO          | NULL                 |
| supply_share_links       | shareCode                 | varchar   | NO          | NULL                 |
| supply_share_links       | extractCode               | varchar   | YES         | NULL                 |
| supply_share_links       | expiresAt                 | datetime  | NO          | NULL                 |
| supply_share_links       | accessLimit               | int       | YES         | NULL                 |
| supply_share_links       | accessCount               | int       | NO          | 0                    |
| supply_share_links       | status                    | varchar   | NO          | active               |
| supply_share_links       | createdAt                 | datetime  | NO          | CURRENT_TIMESTAMP(3) |
| supply_share_links       | updatedAt                 | datetime  | NO          | NULL                 |
| supply_share_links       | uniqueUserCount           | int       | NO          | 0                    |
| warehouse_tasks          | id                        | varchar   | NO          | NULL                 |
| warehouse_tasks          | shopId                    | varchar   | NO          | NULL                 |
| warehouse_tasks          | progress                  | decimal   | YES         | 0.00                 |
| warehouse_tasks          | status                    | enum      | NO          | PENDING              |
| warehouse_tasks          | type                      | enum      | NO          | NULL                 |
| warehouse_tasks          | operatorId                | varchar   | NO          | NULL                 |
| warehouse_tasks          | createdAt                 | datetime  | NO          | CURRENT_TIMESTAMP(3) |
| warehouse_tasks          | updatedAt                 | datetime  | NO          | NULL                 |
+--------------------------+---------------------------+-----------+-------------+----------------------+
